name	type	flags	address	offset	size	link	info	addr_align	entsize
	SHT_NULL	0	0	0	0	0	0	0	0
.text	SHT_PROGBITS	6	1048576	65536	104828	0	0	64	0
.init	SHT_PROGBITS	6	1153404	170364	24	0	0	4	0
.fini	SHT_PROGBITS	6	1153428	170388	24	0	0	4	0
.rodata	SHT_PROGBITS	2	1153456	170416	2332	0	0	8	0
.data	SHT_PROGBITS	3	1155792	172752	3952	0	0	8	0
.eh_frame	SHT_PROGBITS	2	1159744	176704	4	0	0	4	0
.mmu_tbl	SHT_PROGBITS	2	1163264	180224	16384	0	0	1	0
.init_array	SHT_INIT_ARRAY	3	1179648	196608	4	0	0	4	4
.fini_array	SHT_FINI_ARRAY	3	1179652	196612	4	0	0	4	4
.ARM.attributes	SHT_ARM_ATTRIBUTES	0	1179656	196616	51	0	0	1	0
.bss	SHT_NOBITS	3	2097152	1048576	2130228	0	0	1048576	0
.heap	SHT_NOBITS	3	4227380	1048576	8204	0	0	1	0
.stack	SHT_NOBITS	3	4235584	1048576	14336	0	0	1	0
.comment	SHT_PROGBITS	48	0	196667	49	0	0	1	1
.debug_info	SHT_PROGBITS	0	0	196716	418056	0	0	1	0
.debug_abbrev	SHT_PROGBITS	0	0	614772	69946	0	0	1	0
.debug_aranges	SHT_PROGBITS	0	0	684720	3664	0	0	8	0
.debug_macro	SHT_PROGBITS	0	0	688384	36510	0	0	1	0
.debug_line	SHT_PROGBITS	0	0	724894	96018	0	0	1	0
.debug_str	SHT_PROGBITS	48	0	820912	159128	0	0	1	1
.debug_frame	SHT_PROGBITS	0	0	980040	17348	0	0	4	0
.debug_ranges	SHT_PROGBITS	0	0	997388	6680	0	0	1	0
.debug_loc	SHT_PROGBITS	0	0	1004068	114133	0	0	1	0
.symtab	SHT_SYMTAB	0	0	1118204	23488	25	704	4	16
.strtab	SHT_STRTAB	0	0	1141692	15627	0	0	1	0
.shstrtab	SHT_STRTAB	0	0	1157319	260	0	0	1	0
